iter	Passed	Remaining
398	117991	769163
399	118272	768768
400	118538	768283
401	118807	767816
402	119064	767272
403	119345	766886
404	119706	767010
405	120328	768797
406	120611	768418
407	120868	767869
408	121127	767340
409	121407	766942
410	121691	766565
411	121972	766176
412	122278	765941
413	122635	766024
414	122920	765662
415	123058	764381
416	123420	764498
417	123779	764590
418	124048	764124
419	124321	763688
420	124587	763211
421	124849	762704
422	125123	762275
423	125394	761827
424	125671	761421
425	125944	760987
426	126216	760552
427	126496	760161
428	126766	759712
429	127025	759196
430	127299	758778
431	127577	758376
432	127900	758249
433	128183	757877
434	128519	757820
435	128813	757519
436	129087	757094
437	129371	756733
438	129638	756276
439	129908	755832
440	130232	755701
441	130571	755659
442	130844	755234
443	131104	754739
444	131201	753302
445	131559	753367
446	131920	753451
447	132202	753079
448	132502	752816
449	132812	752606
450	133082	752165
451	133369	751826
452	133652	751461
453	133928	751059
454	134251	750922
455	134742	751720
456	135069	751602
457	135370	751337
458	135685	751147
459	136002	750968
460	136291	750637
461	136614	750490
462	136882	750047
463	137167	749691
464	137538	749804
465	137916	749960
466	138249	749860
467	138529	749480
468	138810	749102
469	139110	748830
470	139429	748655
471	139828	748913
472	140272	749406
473	140694	749778
474	141071	749908
475	141533	750484
476	141933	750727
477	142220	750374
478	142606	750543
479	142970	750597
480	143486	751438
481	143776	751100
482	144108	750977
483	144398	750634
484	144701	750361
485	144980	749961
486	145270	749619
487	145554	749246
488	145841	748891
489	146171	748756
490	146534	748788
491	146844	748546
492	147177	748427
493	147531	748410
494	147797	747942
495	148073	747531
496	148382	747285
497	148656	746866
498	148801	745795
499	149068	745341
500	149342	744925
501	149785	745348
502	150304	746143
503	150636	746008
504	151194	746992
505	151537	746908
506	151843	746640
507	152147	746360
508	152530	746471
509	153092	747450
510	153467	747515
511	153839	747561
512	154237	747734
513	154556	747524
514	154870	747289
515	155278	747505
516	155901	748750
517	156627	750483
518	156989	750462
519	157369	750531
520	158190	752693
521	158878	754217
522	159349	754699
523	159778	754985
524	160353	755950
525	161003	757266
526	161685	758726
527	162065	758762
528	162566	759361
529	163236	760741
530	163614	760761
531	163939	760533
532	164312	760521
533	164725	760699
534	165084	760622
535	165453	760591
536	165982	761295
537	166354	761270
538	166697	761118
539	167082	761154
540	167626	761910
541	168212	762851
542	168891	764210
543	169931	767191
544	170812	769437
545	171793	772127
546	172358	772933
547	172729	772868
548	173168	773106
549	174158	775796
550	175082	778181
551	175544	778500
552	176191	779639
553	176715	780226
554	177294	781052
555	177661	780942
556	178069	781010
557	178650	781838
558	179024	781752
559	179796	783399
560	180300	783873
561	180690	783849
562	181065	783760
563	181412	783547
564	181951	784161
565	182682	785600
566	183505	787423
567	183984	787766
568	184281	787327
569	184561	786814
570	184844	786316
571	185124	785808
572	185410	785325
573	185669	784727
574	185936	784164
575	186281	783936
576	186612	783645
577	186973	783477
578	187309	783205
579	187656	782980
580	188024	782842
581	188422	782829
582	188730	782437
583	189112	782357
584	189402	781892
585	189699	781459
586	190000	781040
587	190305	780642
588	190586	780144
589	190872	779664
590	191155	779177
591	191562	779192
592	191987	779282
593	192340	779076
594	192677	778806
595	193017	778545
596	193402	778470
597	193657	777866
598	194003	777634
599	194475	777901
600	194964	778234
601	195572	779042
602	196229	780035
603	196569	779769
604	197040	780020
605	197488	780176
606	197821	779878
607	198276	780062
608	198804	780528
609	199619	782116
610	200077	782298
611	200396	781939
612	200681	781446
613	200944	780867
614	201217	780330
615	201481	779759
616	201749	779202
617	202019	778657
618	202289	778112
619	202551	777536
620	202827	777016
621	203114	776536
622	203378	775970
623	203642	775408
624	203912	774866
625	204182	774326
626	204456	773802
627	204720	773245
628	204993	772716
629	205261	772174
630	205576	771807
631	205840	771249
632	206112	770722
633	206375	770166
634	206639	769610
635	206898	769039
636	207166	768500
637	207437	767972
638	207703	767430
639	207976	766912
640	208238	766357
641	208510	765835
642	208781	765314
643	209054	764801
644	209319	764260
645	209580	763702
646	209834	763122
647	210106	762607
648	210368	762059
649	210637	761536
650	210897	760980
651	211163	760447
652	211427	759910
653	211704	759416
654	211974	758899
655	212243	758382
656	212508	757849
657	212778	757337
658	213050	756828
659	213345	756408
660	213605	755858
661	213863	755305
662	214140	754822
663	214416	754333
664	214686	753825
665	214950	753295
666	215212	752761
667	215485	752265
668	215531	750976
669	215793	750444
670	216068	749962
671	216345	749482
672	216612	748970
673	216873	748437
674	217150	747963
675	217413	747440
676	217667	746886
677	217940	746397
678	218209	745898
679	218475	745387
680	218735	744855
681	219002	744350
682	219268	743844
683	219533	743332
684	219803	742838
685	220072	742343
686	220355	741894
687	220632	741426
688	220903	740941
689	221173	740451
690	221447	739975
691	221706	739447
692	221984	738986
693	222247	738476
694	222501	737937
695	222774	737461
696	223047	736985
697	223310	736477
698	223577	735983
699	223844	735489
700	224109	734990
701	224372	734485
702	224633	733973
703	224893	733460
704	225170	733001
705	225559	732909
706	226051	733149
707	226324	732676
708	226679	732472
709	226946	731983
710	227230	731548
711	227481	731007
712	227753	730534
713	228035	730097
714	228308	729627
715	228569	729124
716	228833	728627
717	229107	728166
718	229376	727689
719	229644	727207
720	229913	726730
721	230191	726282
722	230454	725788
723	230729	725331
724	230998	724856
725	231268	724387
726	231519	723856
727	231787	723379
728	232061	722924
729	232322	722428
730	232590	721951
731	232861	721488
732	233136	721037
733	233407	720573
734	233655	720039
735	233990	719775
736	234256	719297
737	234575	718983
738	234840	718502
739	235107	718031
740	235374	717557
741	235640	717084
742	235919	716649
743	236199	716217
744	236461	715732
745	236726	715255
746	237002	714813
747	237270	714349
748	237541	713892
749	237826	713478
750	238102	713037
751	238361	712548
752	238620	712059
753	238892	711609
754	239167	711166
755	239421	710664
756	239684	710188
757	239970	709780
758	240242	709332
759	240508	708868
760	240769	708387
761	241033	707917
762	241297	707447
763	241566	706993
764	241835	706537
765	242106	706090
766	242362	705600
767	242628	705138
768	242906	704712
769	243175	704262
770	243443	703806
771	243713	703359
772	243981	702905
773	244251	702461
774	244516	702000
775	244787	701555
776	245059	701116
777	245316	700632
778	245591	700204
779	245856	699746
780	246125	699300
781	246391	698843
782	246657	698391
783	246925	697943
784	247192	697491
785	247463	697054
786	247747	696651
787	248027	696239
788	248294	695791
789	248563	695347
790	248838	694923
791	249103	694471
792	249361	693998
793	249623	693537
794	249892	693098
795	250173	692690
796	250431	692220
797	250694	691766
798	250968	691341
799	251255	690951
800	251556	690601
801	251841	690207
802	252102	689750
803	252372	689315
804	252629	688846
805	253044	688808
806	253487	688843
807	253789	688497
808	254058	688062
809	254430	687903
810	254676	687407
811	254955	686998
812	255215	686539
813	255481	686095
814	255740	685635
815	256006	685194
816	256275	684760
817	256548	684338
818	256807	683878
819	257096	683499
820	257351	683032
821	257611	682576
822	257878	682141
823	258138	681684
824	258401	681239
825	258672	680816
826	258944	680394
827	259208	679952
828	259459	679477
829	259727	679047
830	259999	678627
831	260275	678217
832	260535	677768
833	260806	677346
834	261072	676913
835	261342	676489
836	261591	676013
837	261861	675591
838	262122	675145
839	262385	674704
840	262656	674286
841	262943	673908
842	263211	673484
843	263472	673041
844	263747	672635
845	264017	672213
846	264277	671771
847	264540	671333
848	264805	670903
849	265077	670490
850	265337	670047
851	265601	669615
852	265872	669199
853	266140	668779
854	266406	668353
855	266678	667941
856	266947	667523
857	267208	667085
858	267467	666644
859	267741	666241
860	268016	665839
861	268280	665409
862	268537	664965
863	268817	664575
864	269083	664153
865	269341	663712
866	269599	663270
867	269868	662857
868	270137	662442
869	270402	662020
870	270668	661599
871	270942	661200
872	271206	660775
873	271467	660342
874	271728	659911
875	272003	659515
876	272270	659100
877	272535	658679
878	272803	658265
879	273069	657848
880	273331	657422
881	273589	656986
882	273865	656594
883	274127	656168
884	274382	655726
885	274649	655316
886	274916	654901
887	275175	654471
888	275439	654051
889	275703	653633
890	275971	653226
891	276236	652811
892	276499	652389
893	276779	652009
894	277040	651586
895	277302	651166
896	277571	650760
897	277835	650344
898	278110	649955
899	278375	649543
900	278640	649131
901	278918	648748
902	279187	648345
903	279446	647920
904	279719	647527
905	280033	647228
906	280423	647106
907	280691	646702
908	280959	646298
909	281229	645900
910	281490	645481
911	281758	645078
912	282027	644677
913	282289	644263
914	282549	643842
915	282825	643459
916	283086	643042
917	283344	642618
918	283612	642216
919	283880	641816
920	284145	641410
921	284399	640979
922	284670	640584
923	284936	640183
924	285202	639779
925	285462	639363
926	285787	639090
927	286051	638683
928	286308	638261
929	286581	637875
930	286860	637501
931	287131	637112
932	287392	636698
933	287670	636324
934	287939	635930
935	288213	635547
936	288465	635117
937	288741	634738
938	289019	634366
939	289280	633954
940	289536	633533
941	289801	633133
942	290058	632715
943	290327	632322
944	290584	631906
945	290852	631513
946	291119	631118
947	291375	630699
948	291651	630323
949	291916	629925
950	292184	629533
951	292461	629160
952	292734	628781
953	293006	628398
954	293270	627997
955	293536	627603
956	293807	627219
957	294079	626837
958	294340	626432
959	294603	626032
960	294873	625647
961	295136	625247
962	295394	624837
963	295676	624479
964	295952	624106
965	296211	623699
966	296462	623277
967	296735	622900
968	296997	622499
969	297263	622107
970	297530	621719
971	297811	621359
972	298075	620964
973	298328	620548
974	298599	620167
975	298878	619804
976	299142	619412
977	299390	618985
978	299660	618604
979	299935	618234
980	300191	617825
981	300464	617450
982	300736	617074
983	300995	616673
984	301260	616285
985	301522	615889
986	301786	615497
987	302053	615113
988	302327	614742
989	302591	614352
990	302856	613963
991	303118	613569
992	303376	613168
993	303649	612797
994	303919	612421
995	304170	612005
996	304432	611612
997	304703	611237
998	304958	610833
999	305219	610438
1000	305488	610061
1001	305772	609713
1002	306043	609341
1003	306294	608928
1004	306574	608572
1005	307016	608539
1006	307331	608252
1007	307603	607883
1008	307879	607520
1009	308150	607148
1010	308417	606768
1011	308690	606400
1012	308947	606001
1013	309214	605622
1014	309485	605249
1015	309753	604872
1016	310012	604478
1017	310271	604083
1018	310542	603713
1019	310810	603337
1020	311067	602941
1021	311329	602552
1022	311609	602200
1023	311872	601817
1024	312129	601420
1025	312393	601038
1026	312658	600657
1027	312929	600289
1028	313192	599905
1029	313455	599522
1030	313723	599147
1031	313997	598786
1032	314259	598402
1033	314526	598025
1034	314798	597661
1035	315066	597288
1036	315323	596894
1037	315585	596510
1038	315847	596127
1039	316115	595755
1040	316377	595373
1041	316663	595036
1042	316918	594640
1043	317175	594247
1044	317438	593868
1045	317705	593495
1046	317964	593107
1047	318224	592722
1048	318496	592361
1049	318759	591981
1050	319028	591614
1051	319284	591222
1052	319565	590876
1053	319833	590509
1054	320089	590118
1055	320355	589745
1056	320629	589388
1057	320895	589016
1058	321147	588618
1059	321409	588239
1060	321689	587895
1061	321950	587514
1062	322209	587130
1063	322479	586767
1064	322745	586397
1065	323017	586038
1066	323282	585664
1067	323554	585307
1068	323820	584937
1069	324083	584561
1070	324343	584182
1071	324616	583825
1072	324884	583459
1073	325144	583081
1074	325401	582695
1075	325674	582339
1076	325941	581973
1077	326199	581590
1078	326457	581208
1079	326711	580819
1080	326979	580456
1081	327243	580085
1082	327511	579721
1083	327783	579366
1084	328055	579011
1085	328310	578624
1086	328580	578266
1087	328850	577907
1088	329113	577535
1089	329389	577187
1090	329656	576823
1091	329926	576464
1092	330193	576101
1093	330530	575860
1094	330827	575549
1095	331091	575181
1096	331363	574826
1097	331844	574834
1098	332777	575623
1099	333229	575578
1100	333755	575659
1101	334323	575813
1102	334868	575924
1103	335427	576060
1104	335756	575798
1105	336015	575418
1106	336277	575043
1107	336558	574700
1108	336823	574331
1109	337084	573954
1110	337387	573650
1111	337849	573615
1112	338131	573273
